电影名,年份,时长,评分,语言,瞎算
肖申克的救赎,1994,142,87,英语,2136
教父,1972,175,87,英语,2147
教父2,1974,200,86,英语,2174
辛德勒的名单,1993,195,86,英语,2188
十二怒汉,1957,96,86,英语,2053
¿Quieres ser mi hijo?,2023,100,86,-,2123
Selena Gomez: My Mind & Me,2022,95,85,-,2117
千与千寻,2001,125,85,日语,2126
蝙蝠侠：黑暗骑士,2008,152,85,英语,2160
勇夺芳心,1995,190,85,印地语,2185
绿里奇迹,1999,189,85,英语,2188
指环王3：王者无敌,2003,263,85,英语,2266
寄生虫,2019,132,85,朝鲜语,2151
低俗小说,1994,154,85,英语,2148
你的名字。,2016,106,85,日语,2122
星际穿越,2014,169,85,英语,2183
黄金三镖客,1966,161,85,意大利语,2127
阿甘正传,1994,142,85,英语,2136
人类,2015,191,85,法语,2206
好家伙,1990,145,85,英语,2135
七武士,1954,207,85,日语,2161
大卫·爱登堡：地球上的一段生命旅程,2020,83,84,英语,2103
萤火虫之墓,1988,89,84,日语,2077
美丽人生,1997,116,84,意大利语,2113
搏击俱乐部,1999,139,84,英语,2138
切腹,1962,135,84,-,2097
指环王1：护戒使者,2001,228,84,英语,2229
上帝之城,2002,129,84,葡萄牙语,2131
天堂电影院,1988,124,84,意大利语,2112
蛊惑兄弟,2000,104,84,葡萄牙语,2104
妙不可言,2021,88,84,西班牙语,2109
惊魂记,1960,109,84,英语,2069
指环王2：双塔奇兵,2002,235,84,英语,2237
飞越疯人院,1975,133,84,英语,2108
鱿鱼游戏： 第二季 制作特辑,2025,28,84,朝鲜语,2053
素媛,2013,122,84,朝鲜语,2135
蜘蛛侠：平行宇宙,2018,116,84,英语,2134
星球大战5：帝国反击战,1980,124,84,英语,2104
加百列的地狱,2020,122,84,英语,2142
哈尔的移动城堡,2004,119,84,日语,2123
声之形,2016,130,84,日语,2146
美国往事,1984,229,84,英语,2213
七宗罪,1995,127,84,英语,2122
钢琴家,2002,150,84,英语,2152
爆裂鼓手,2014,107,84,英语,2121
露西·希姆斯和和平王子,2020,87,84,英语,2107
盗梦空间,2010,148,84,英语,2158
防弹少年团：燃烧舞台电影版,2018,85,84,朝鲜语,2103
加百列的地狱：第二部,2020,106,84,英语,2126
加百列的地狱：第三部,2020,122,84,英语,2142
天国与地狱,1963,142,84,日语,2105
沉默的羔羊,1991,119,83,英语,2110
后窗,1954,112,83,英语,2066
带来灵魂：防弹少年团演唱会电影,2019,103,83,朝鲜语,2122
蜘蛛侠：纵横宇宙,2023,140,83,英语,2163
电锯人剧场版：蕾塞篇,2025,100,83,日语,2125
美国X档案,1998,119,83,英语,2117
幽灵公主,1997,134,83,日语,2131
回到未来,1985,116,83,英语,2101
激进教学,2023,122,83,西班牙语,2145
五等分的新娘 剧场版,2022,136,83,日语,2158
别假正经,1984,88,83,英语,2072
荒野机器人,2024,102,83,英语,2126
生之欲,1952,143,83,日语,2095
罗小黑战记,2019,102,83,-,2121
同级生,2016,61,83,日语,2077
未麻的部屋,1998,82,83,日语,2080
死亡诗社,1989,128,83,英语,2117
紫罗兰永恒花园 剧场版,2020,140,83,日语,2160
这个杀手不太冷,1994,133,83,法语,2127
音魂掠影,2022,156,83,意大利语,2178
我们如此相爱,1974,124,83,意大利语,2098
献给我的前妻,2019,94,83,西班牙语,2113
大独裁者,1940,125,83,英语,2065
摩登时代,1936,87,83,英语,2023
生活多美好,1946,131,83,英语,2077
日落大道,1950,110,83,英语,2060
从前有个工作室,2023,9,83,英语,2032
西部往事,1968,166,83,意大利语,2134
触不可及,2011,112,83,法语,2123
现代启示录,1979,202,83,英语,2181
新世纪福音战士剧场版：Air / 真心为你,1997,87,83,日语,2084
牯岭街少年杀人事件,1991,237,83,汉语,2228
乔西的虎与鱼,2020,98,83,日语,2118
青春猪头少年不会梦到怀梦美少女,2019,90,83,日语,2109
GIVEN 被赠与的未来 剧场版,2020,59,83,日语,2079
从天而降,2019,112,83,西班牙语,2131
光荣之路,1957,87,83,英语,2044
城市之光,1931,87,83,英语,2018
洞,1960,132,83,法语,2092
夜与雾,1956,32,83,法语,1988
七号房的礼物,2019,132,83,土耳其语,2151
萤火之森,2011,44,83,日语,2055
狮子王,1994,89,83,英语,2083
防弹少年团世界巡回演唱会：在首尔爱自己,2019,113,82,朝鲜语,2132
黑客帝国,1999,136,82,英语,2135
比莉·艾利什：模糊世界,2021,140,82,英语,2161
海上钢琴师,1998,170,82,意大利语,2168
云上情歌,2020,121,82,英语,2141
单向乐队：这就是我们,2013,92,82,英语,2105
